Timestamp	NewJobs	DiscountRate
2.34200		284.7
2.34700	668	
3.63400	636	272.8
3.83300	595	268.1
6.22000		262.2
6.22500	588	
6.61400	574	
7.32700		254.6
8.11300	616	259.6
10.12300		261.6
10.18900	667	
11.01300	621	263.7
11.14300	511	
11.32600		244.8
11.32900	477	
11.71900	501	238.3
12.62600	662	
13.40500		236.2
13.41200	610	
13.45700	642	
13.98900		225.3
14.24100	445	
16.41700	395	
17.69500	363	182.2
18.95000	349	
19.98800		189.2
20.00400	379	
21.63600	348	
22.97700	406	191.6
23.05900	339	
23.39200	371	
23.71400	377	
24.14600	403	
24.32700	403	
24.64300	340	
24.65400	360	
24.66200	381	
24.87500	358	
25.07300	392	
25.42300	377	
25.44000	381	
25.44000	379	
25.68400	360	
25.99900	363	
26.09900	382	
26.09900	386	
26.30300		188.5
26.33600	387	
26.47100	412	
26.67200	426	
26.88400	418	
27.06200		191.7
27.06400	448	
27.34200	464	
27.70200	435	
27.95100	416	
28.01600	403	
28.19500	382	
28.55100	396	
28.74300	425	
28.94300	435	
29.13000	436	
29.41000	421	
29.49300	416	
29.54200	429	
30.17500	481	
30.38500	489	
30.59100	482	
31.08800	394	
31.44700		205.4
31.47900	429	
32.17600	469	
32.38400	505	
32.71500	548	
32.95200	532	
33.16100	520	
33.47400	530	
33.82300	509	
33.88400		209.1
34.10800	500	
34.10800	483	
34.28500	484	
34.64400	418	
34.78400	403	
35.03800	459	
35.16300	414	
35.38700	375	
35.57300	423	
35.64500	443	
35.88300	431	
36.64100	484	
38.10900	520	
38.20100	493	
39.38800	424	
39.82800	448	
39.88000		209.1
40.62600	537	
41.35800	522	
42.13100	441	
43.54600	419	
44.76600		189.3
44.78800	402	
47.02400	466	188.4
48.22900		210.1
49.39800	504	
49.41400		215.7
51.17400	480	190.4
52.87000	514	
55.56400	528	
57.06800		221.8
57.73700	442	
57.79900		210.4
59.60400	411	
61.58200	414	
63.68700		195.4
63.69400	415	
65.70100	434	191.4
66.88300		195.0
68.49500	424	
71.01400	458	
72.84900	430	227.4
75.36000		229.2
75.36700	462	
76.87500	402	
78.99500	438	217.1
80.05900		221.8
81.12200	497	
82.84300	545	
82.85800		231.0
84.92900	594	241.1
85.72700		236.4
86.32300	529	228.1
87.18000		214.2
88.05100	425	217.0
89.36300	417	208.0
91.69100	454	224.3
92.46000		228.4
93.66000	443	
95.34900	406	232.1
96.90000	407	
99.06700	476	
99.83300	480	
99.84200		225.9
100.83300		230.9
100.84200	521	
101.82900	493	236.9
103.37200	559	228.2
105.20400	591	
105.21300		236.9
105.67500	564	
106.20300	437	230.7
107.00700	451	
108.30800		238.2
108.99400	468	245.7
110.25300		251.3
111.44200	448	
111.45600		256.8
112.55900	443	
112.57700		266.3
112.79300	463	
113.47200		261.4
113.47900	505	
113.57400	483	
114.03100	497	
114.08200		274.6
114.50800	511	
114.73800		273.3
115.06000	485	
115.40100	503	
115.76800	520	
116.03700	550	
116.17500		262.5
116.20000	531	
116.35300	548	
116.60500	575	
117.05200	541	
117.34200	555	
117.44600	572	
117.51900		267.6
117.58900	590	
117.96400	560	
118.01000	573	
118.20500	575	
118.39600		273.8
118.63100	563	
118.85300	559	
119.16400	589	
119.27300	573	272.0
119.49900	584	
119.70400	591	
120.00200		265.2
120.32000	603	
120.57100	601	
120.65200	578	277.7
120.76500	606	
121.09000	592	
121.56100	598	
121.75200	594	
121.96100		272.2
122.02000	618	
122.36700	592	
122.52800	594	
122.60600	600	276.5
122.96800	598	
123.27900	604	
123.44500	601	
123.67700	622	
123.81500	602	268.7
123.82600	630	
123.85800		266.6
124.07700	618	
124.24400	619	
124.30600		266.3
124.57100		279.8
