GDP	Timestamp	DiscountRate	Spread
3026.58	611.269	257.8	2.1
3030.97	616.164	252.6	0.6
3036.44	623.109	243.3	2.8
3040.87	630.183	204.4	0.9
3043.07	635.364	195.0	1.5
3055.18	658.404	187.5	1.8
3056.25	659.983	185.6	1.1
3057.36	661.563	192.1	1.0
3058.47	663.133	192.0	2.1
3059.55	664.597	190.6	1.3
3060.33	665.645	178.2	1.1
3060.73	666.174	178.5	1.1
3061.36	666.995	172.7	1.0
3061.82	667.569	171.6	1.4
3062.53	668.447	175.6	0.7
3062.93	668.934	178.5	0.7
3063.64	669.751	185.5	0.2
3064.02	670.176	189.3	0.9
3064.76	670.916	192.6	1.0
3065.12	671.286	194.6	0.7
3065.76	671.926	192.5	0.6
3066.22	672.386	194.8	1.0
3066.93	673.095	198.7	1.0
3067.33	673.475	202.3	0.7
3068.07	674.173	209.2	0.6
3068.42	674.521	213.7	0.8
3069.52	675.589	220.0	0.8
3070.16	676.170	217.4	0.6
3070.62	676.524	214.0	0.9
3071.33	677.068	215.6	1.4
3071.72	677.380	217.4	1.5
3072.44	677.984	226.5	0.8
3072.80	678.291	230.0	0.9
3073.53	678.914	230.8	0.6
3073.93	679.252	230.3	1.2
3074.56	679.732	223.0	1.2
3075.02	680.081	225.0	1.3
3075.73	680.608	218.4	0.9
3076.13	680.920	216.2	1.0
3076.85	681.531	217.3	1.7
3077.23	681.849	219.7	0.6
3077.93	682.446	222.6	1.6
3078.32	682.762	221.3	1.3
3078.96	683.262	218.7	0.8
3079.43	683.612	217.5	0.7
3080.14	684.142	217.5	1.4
3080.52	684.419	219.4	1.0
3081.25	684.949	219.5	1.1
3081.63	685.217	219.7	1.2
3082.34	685.716	223.5	1.0
3082.72	685.980	224.4	1.3
3083.37	686.425	224.3	1.1
3083.82	686.726	227.3	1.7
3084.56	687.227	228.7	1.3
3084.92	687.470	228.8	1.5
3085.65	687.949	232.3	1.0
3086.03	688.195	233.0	0.5
3086.73	688.652	235.8	1.1
3087.08	688.881	234.9	1.2
3087.76	689.304	235.8	2.0
3088.23	689.603	239.9	0.6
3088.93	690.057	235.6	1.3
3089.30	690.294	234.8	2.1
3090.05	690.771	240.0	2.1
3090.42	690.999	234.0	0.8
3091.13	691.432	235.6	1.0
3091.52	691.672	236.6	0.7
3092.16	692.057	235.5	0.9
3092.62	692.338	235.9	1.4
3093.33	692.765	232.9	0.6
3093.70	692.990	234.8	1.5
3094.45	693.433	234.1	1.5
3094.80	693.639	234.1	1.3
3095.53	694.068	235.4	1.0
3095.92	694.300	234.4	1.1
3096.56	694.672	235.8	1.3
3097.02	694.941	236.9	0.8
3097.74	695.383	236.7	1.9
3098.13	695.618	237.6	0.7
3098.85	696.062	234.6	1.0
3099.22	696.287	234.8	0.6
3099.93	696.717	235.4	0.8
3100.32	696.963	232.9	0.6
3100.92	697.331	232.4	0.7
3101.43	697.660	232.2	0.5
3102.13	698.120	231.0	1.0
3102.52	698.386	228.0	0.5
3103.25	698.880	226.4	1.0
3103.57	699.102	227.7	0.7
3104.33	699.633	227.6	1.6
3104.71	699.909	226.0	0.3
3105.36	700.389	228.7	1.3
3105.82	700.744	227.6	1.1
3106.46	701.242	228.2	0.5
3106.92	701.606	228.8	1.4
3107.64	702.158	229.3	0.5
3107.93	702.381	230.3	1.7
3108.65	702.988	232.4	1.3
3109.12	703.384	232.8	1.6
3109.75	703.934	231.2	1.8
3110.07	704.211	231.2	0.9
3110.88	704.973	233.9	0.8
3111.32	705.410	228.5	1.5
3112.05	706.141	228.6	1.0
3112.31	706.409	228.1	1.0
3115.25	709.680	219.7	0.6
3115.72	710.237	220.2	0.3
3116.42	711.104	218.9	1.5
3116.68	711.421	218.7	1.4
3117.81	712.833	218.5	0.5
3118.60	713.843	222.3	1.6
3118.95	714.288	221.7	2.0
3119.67	715.180	217.7	0.6
3120.12	715.750	222.1	0.6
3120.85	716.704	208.1	0.7
3121.13	717.065	205.0	1.7
3121.86	718.064	192.9	1.2
3122.32	718.779	184.3	1.1
3122.95	719.794	187.8	1.6
3123.35	720.337	195.2	0.8
3124.06	721.318	206.3	0.8
3124.52	722.039	211.3	0.9
3125.27	723.133	213.4	1.2
3125.53	723.464	213.2	1.3
3126.27	724.445	210.3	2.0
3126.72	725.059	206.3	0.7
3127.41	725.937	206.6	1.8
3127.73	726.322	208.1	1.2
3128.45	727.192	204.5	0.4
3128.91	727.732	205.5	1.3
3129.62	728.568	205.1	1.1
3129.93	728.921	205.4	0.8
3131.12	730.299	204.0	1.6
3131.75	730.949	204.1	0.8
3132.13	731.329	204.9	0.8
3132.92	732.141	203.8	1.0
3133.32	732.548	205.9	1.7
3134.02	733.261	203.9	0.7
3134.33	733.543	204.4	0.3
3135.06	734.223	205.3	0.4
3135.52	734.604	207.4	1.9
3136.19	735.167	201.7	1.2
3136.53	735.459	201.3	0.8
3137.25	736.079	204.1	1.0
3137.72	736.460	209.7	1.8
3138.44	737.034	208.1	0.7
