Date,ESM6C 2080 Index  (R1),ESM6C 2085 Index  (L1),ESM6C 2090 Index  (R1),ESM6C 2095 Index  (L1),ESM6C 2100 Index  (R1),ESM6C 2105 Index  (L1),ESM6C 2110 Index  (R1),ESM6C 2115 Index  (L1),ESM6C 2120 Index  (R1),ESM6C 2125 Index  (R1),ESM6C 2130 Index  (R1),ESM6C 2135 Index  (L1),ESM6C 2140 Index  (R1),ESM6C 2145 Index  (L1),ESM6C 2150 Index  (R1),ESM6C 2155 Index  (L1),ESM6C 2160 Index  (L1),ESM6C 2165 Index  (L1),(R1) Open,(R1) High,(R1) Low,(R1) Close
5/23/2016,11,9.25,7.75,6.5,5.25,4.2,3.35,2.55,2.05,1.6,1.25,1,0.75,0.6,0.5,0.4,0.35,0.3,14.5,16.25,12.75,13
5/20/2016,13.75,11.75,10,8.5,7,5.75,4.6,3.65,2.9,2.3,1.8,1.45,1.15,0.9,0.75,0.6,0.55,0.45,15.75,18.75,15,16
5/19/2016,12.25,10.5,9,7.5,6.5,5.25,4.4,3.6,2.9,2.35,1.9,1.55,1.25,1,0.8,0.65,0.5,0.4,14.5,14.75,10.75,14.25
5/18/2016,13.5,11.75,10,8.5,7.25,6,5,4.15,3.4,2.75,2.2,1.8,1.45,1.15,0.95,0.8,0.7,0.6,16.75,20,13,15.75
5/17/2016,14.25,12.25,10.5,9,7.5,6.5,5.25,4.4,3.6,2.95,2.4,1.95,1.6,1.3,1.05,0.85,0.7,0.6,23.75,24.5,15,16.25
5/16/2016,22,19.5,17,15,13,11,9.5,8,6.5,5.5,4.45,3.6,2.9,2.35,1.9,1.55,1.25,1.05,18,26.5,17.75,24.5
5/13/2016,15.75,13.75,12,10.25,8.75,7.5,6.25,5.25,4.3,3.55,2.95,2.45,2,1.7,1.4,1.15,1,0.8,22.5,25.25,16.5,18
5/12/2016,22,19.5,17.5,15.25,13.25,11.5,9.75,8.25,7,5.75,4.8,3.95,3.25,2.65,2.15,1.75,1.4,1.1,28.5,30.75,22,24.5
5/11/2016,22.75,20.25,18,16,14,12.25,10.5,9,7.75,6.5,5.5,4.55,3.8,3.15,2.6,2.15,1.8,1.5,33.5,34.25,27.25,25.25
5/10/2016,31.5,28.5,26,23.25,20.75,18.5,16.25,14.25,12.5,10.75,9,7.75,6.5,5.5,4.55,3.8,3.15,2.6,28.5,35.25,27.5,34.5
5/9/2016,22,19.5,17.5,15.25,13.5,11.5,10,8.5,7.25,6,5,4.15,3.45,2.85,2.35,1.95,1.6,1.35,25.75,26.5,23.5,24.25
5/6/2016,22.75,20.5,18.25,16,14.25,12.5,10.75,9.5,8,7,6,4.95,4.15,3.45,2.9,2.45,2.05,1.7,22.25,24.25,19,25.25
5/5/2016,21.25,19,17,15.25,13.5,11.75,10.25,8.75,7.5,6.5,5.5,4.75,4.05,3.45,2.9,2.45,2.05,1.75,28.5,30.5,22.75,23.5
5/4/2016,23.5,21,19,17,15,13.5,11.75,10.25,9,7.75,6.75,5.75,4.95,4.25,3.6,3.05,2.55,2.15,31.25,31.25,24.5,25.75
5/3/2016,27.5,25,22.5,20.25,18.25,16.25,14.25,12.5,11,9.5,8.25,7,6,5.25,4.4,3.7,3.1,2.6,32,33,27.25,30.25
5/2/2016,35.25,32.5,29.5,27,24.5,22,19.5,17.5,15.5,13.5,11.75,10.25,8.75,7.5,6.25,5.25,4.45,3.7,33.25,39,33.25,38.25
4/29/2016,30.25,27.75,25.25,22.75,20.5,18.5,16.5,14.5,13,11.25,10,8.5,7.5,6.25,5.5,4.55,3.85,3.25,40,41.25,29,33
4/28/2016,37,34,31.25,28.5,26,23.5,21.25,19.25,17.25,15.25,13.5,12,10.5,9,7.75,6.75,5.75,4.95,44.25,46.5,37,40
4/27/2016,45.75,42.5,39.5,36.5,33.75,31,28.25,25.5,23,20.75,18.5,16.5,14.75,13,11.5,10,8.75,7.5,46.75,47,44.25,49
4/26/2016,45.25,42,39,36.25,33.25,30.5,27.75,25.25,22.75,20.5,18.25,16.25,14.5,12.75,11.25,10,8.5,7.5,46.75,48.5,45,48.5
4/25/2016,43,40,37,34,31.25,28.5,26,23.5,21.25,19,17,15.25,13.5,12,10.5,9,8,6.75,45,45,41.5,46.25
4/22/2016,44.75,41.5,38.5,35.5,32.75,30,27.5,25,22.5,20.25,18,16,14.25,12.5,11,9.75,8.5,7.25,47.5,48,44,48
4/21/2016,44.75,41.75,38.75,35.75,33,30.25,27.75,25.25,23,20.75,18.5,16.75,14.75,13.25,11.5,10.25,9,8,54,54,46.75,48
4/20/2016,53.25,49.75,46.5,43.5,40.25,37.25,34.5,31.75,29,26.5,24.25,22,19.75,17.5,15.75,14,12.25,10.75,57.5,59.75,55.75,56.5
4/19/2016,51,47.5,44.5,41.25,38.25,35.5,32.5,30,27.25,25,22.5,20.25,18.25,16.25,14.5,12.75,11,9.75,52,55.5,50.75,54.25
4/18/2016,46.75,43.5,40.5,37.5,34.5,31.75,29,26.5,24,21.75,19.5,17.5,15.5,13.75,12.25,10.75,9.25,8,39,51,39,50
4/15/2016,42,39,36,33.25,30.5,28,25.5,23,20.75,18.75,16.75,15,13.25,11.75,10.25,9,7.75,6.75,45,45.75,43.5,45
