Date,ESM6C 2270 Index  (R2),ESM6C 2265 Index  (L1),ESM6C 2275 Index  (R2),ESM6C 2280 Index  (R2),ESM6C 2285 Index  (R1),ESM6C 2290 Index  (R2),ESM6C 2295 Index  (R1),ESM6C 2300 Index  (R2),ESM6C 2305 Index  (R1),ESM6C 2310 Index  (R2),ESM6C 2315 Index  (R1),ESM6C 2320 Index  (R2),ESM6C 2325 Index  (R2),ESM6C 2330 Index  (R2),ESM6C 2335 Index  (R1),ESM6C 2340 Index  (R2)
5/23/2016,0.05,0.1,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
5/20/2016,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
5/19/2016,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
5/18/2016,0.1,0.1,0.1,0.1,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
5/17/2016,0.1,0.1,0.1,0.1,0.1,0.1,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
5/16/2016,0.15,0.15,0.15,0.15,0.15,0.1,0.1,0.1,0.1,0.1,0.1,0.05,0.05,0.05,0.05,0.05
5/13/2016,0.1,0.15,0.1,0.1,0.1,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
5/12/2016,0.1,0.1,0.1,0.1,0.1,0.1,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
5/11/2016,0.25,0.3,0.25,0.25,0.2,0.2,0.2,0.15,0.15,0.15,0.15,0.15,0.1,0.1,0.1,0.1
5/10/2016,0.4,0.4,0.35,0.35,0.3,0.3,0.3,0.3,0.25,0.25,0.2,0.2,0.2,0.15,0.15,0.15
5/9/2016,0.15,0.2,0.15,0.15,0.15,0.15,0.1,0.1,0.1,0.1,0.1,0.05,0.05,0.05,0.05,0.05
5/6/2016,0.25,0.25,0.2,0.2,0.2,0.15,0.15,0.15,0.15,0.15,0.1,0.1,0.1,0.1,0.1,0.05
5/5/2016,0.25,0.25,0.2,0.2,0.2,0.15,0.15,0.15,0.1,0.1,0.1,0.1,0.1,0.05,0.05,0.05
5/4/2016,0.3,0.3,0.25,0.25,0.25,0.2,0.2,0.2,0.2,0.15,0.15,0.15,0.15,0.15,0.1,0.1
5/3/2016,0.3,0.3,0.25,0.25,0.25,0.25,0.2,0.2,0.2,0.2,0.2,0.15,0.15,0.15,0.15,0.15
5/2/2016,0.4,0.4,0.35,0.35,0.35,0.3,0.3,0.3,0.25,0.25,0.25,0.25,0.2,0.2,0.2,0.2
4/29/2016,0.25,0.3,0.25,0.25,0.25,0.25,0.2,0.2,0.2,0.2,0.2,0.2,0.15,0.15,0.15,0.15
4/28/2016,0.5,0.5,0.45,0.4,0.4,0.35,0.35,0.35,0.3,0.3,0.3,0.3,0.25,0.25,0.25,0.25
4/27/2016,0.7,0.75,0.65,0.6,0.6,0.55,0.55,0.55,0.5,0.5,0.5,0.45,0.45,0.4,0.4,0.4
4/26/2016,0.75,0.75,0.7,0.7,0.65,0.65,0.65,0.6,0.6,0.55,0.5,0.5,0.45,0.4,0.4,0.4
4/25/2016,0.75,0.8,0.7,0.65,0.65,0.6,0.55,0.55,0.5,0.5,0.5,0.45,0.45,0.45,0.4,0.4
4/22/2016,0.8,0.85,0.8,0.75,0.7,0.7,0.65,0.65,0.6,0.6,0.55,0.55,0.5,0.5,0.5,0.45
4/21/2016,0.85,0.9,0.85,0.8,0.75,0.75,0.7,0.65,0.65,0.6,0.55,0.55,0.5,0.5,0.5,0.45
4/20/2016,1.1,1.2,1.05,1,0.95,0.9,0.85,0.85,0.8,0.75,0.75,0.7,0.7,0.65,0.6,0.6
4/19/2016,0.95,1,0.9,0.85,0.8,0.8,0.75,0.75,0.7,0.7,0.65,0.65,0.6,0.6,0.6,0.55
4/18/2016,0.8,0.85,0.8,0.75,0.7,0.7,0.65,0.65,0.6,0.6,0.55,0.55,0.5,0.5,0.5,0.45
4/15/2016,0.6,0.65,0.6,0.55,0.5,0.5,0.45,0.45,0.4,0.4,0.4,0.35,0.35,0.35,0.35,0.35
4/14/2016,0.65,0.7,0.65,0.6,0.55,0.55,0.5,0.45,0.45,0.4,0.4,0.4,0.35,0.35,0.35,0.35
4/13/2016,0.55,0.6,0.55,0.5,0.45,0.45,0.4,0.4,0.4,0.35,0.35,0.35,0.3,0.3,0.3,0.3
4/12/2016,0.35,0.35,0.3,0.3,0.3,0.25,0.25,0.25,0.25,0.25,0.2,0.2,0.2,0.2,0.2,0.2
4/11/2016,0.3,0.3,0.25,0.25,0.25,0.2,0.2,0.2,0.2,0.2,0.15,0.15,0.15,0.15,0.15,0.15
4/8/2016,0.25,0.3,0.25,0.25,0.2,0.2,0.2,0.2,0.2,0.2,0.15,0.15,0.15,0.15,0.15,0.15
4/7/2016,0.3,0.35,0.3,0.3,0.3,0.25,0.25,0.25,0.25,0.25,0.25,0.2,0.2,0.2,0.2,0.2
4/6/2016,0.45,0.45,0.4,0.35,0.35,0.35,0.3,0.3,0.25,0.25,0.25,0.25,0.2,0.2,0.2,0.2
4/5/2016,0.45,0.45,0.4,0.35,0.35,0.3,0.3,0.3,0.25,0.25,0.25,0.2,0.2,0.2,0.2,0.2
4/4/2016,0.5,0.55,0.45,0.4,0.4,0.35,0.35,0.35,0.3,0.3,0.3,0.25,0.25,0.25,0.25,0.25
4/1/2016,0.55,0.55,0.5,0.5,0.45,0.45,0.4,0.4,0.35,0.35,0.35,0.3,0.3,0.3,0.25,0.25
3/31/2016,0.4,0.45,0.4,0.35,0.35,0.35,0.3,0.3,0.3,0.3,0.25,0.25,0.25,0.25,0.25,0.2
3/30/2016,0.5,0.55,0.45,0.45,0.4,0.4,0.35,0.35,0.3,0.3,0.3,0.25,0.25,0.25,0.2,0.2
3/29/2016,0.45,0.45,0.4,0.4,0.35,0.35,0.3,0.3,0.25,0.25,0.25,0.2,0.2,0.2,0.2,0.15
3/28/2016,0.45,0.45,0.4,0.35,0.35,0.35,0.3,0.3,0.3,0.3,0.25,0.25,0.25,0.25,0.2,0.2
3/24/2016,0.5,0.55,0.45,0.4,0.4,0.35,0.35,0.3,0.3,0.3,0.25,0.25,0.25,0.25,0.2,0.2
3/23/2016,0.5,0.5,0.45,0.45,0.4,0.4,0.35,0.35,0.35,0.35,0.3,0.3,0.3,0.25,0.25,0.25
