Date,ESM6P 1890 Index,ESM6P 1895 Index,ESM6P 1900 Index,ESM6P 1905 Index,ESM6P 1910 Index,ESM6P 1915 Index,ESM6P 1920 Index,ESM6P 1925 Index,ESM6P 1930 Index,ESM6P 1935 Index,ESM6P 1940 Index,ESM6P 1945 Index,ESM6P 1950 Index,ESM6P 1955 Index,ESM6P 1960 Index,ESM6P 1965 Index,ESM6P 1970 Index,ESM6P 1975 Index,Open,High,Low,Close,SMAVG (200) on Close
5/23/2016,2.8,3,3.2,3.45,3.7,3.95,4.25,4.55,4.9,5.25,5.75,6,6.5,7,7.75,8.25,9,9.5,2.65,2.65,2.35,2.6,
5/20/2016,3.15,3.35,3.6,3.85,4.1,4.35,4.65,5,5.5,5.75,6.25,6.75,7.25,7.75,8.25,8.75,9.5,10,4,4,3.3,2.95,
5/19/2016,5,5.5,5.75,6,6.5,7,7.25,7.75,8.25,8.75,9.25,9.75,10.5,11.25,12,12.75,13.5,14.5,5.5,6.75,4.85,4.8,
5/18/2016,5,5.25,5.5,6,6.25,6.75,7,7.5,8,8.5,9,9.75,10.5,11,12,12.75,13.5,14.5,4.2,5.5,4,4.7,
5/17/2016,4.95,5.25,5.5,5.75,6,6.5,7,7.5,8,8.5,9,9.5,10.25,11,11.5,12.25,13,14,3.3,5,3.3,4.7,
5/16/2016,3.7,3.95,4.2,4.45,4.7,5,5.25,5.5,6,6.25,6.75,7,7.5,8,8.5,9.25,9.75,10.5,5.25,5.25,3.35,3.5,
5/13/2016,5.5,6,6.25,6.75,7,7.5,8,8.5,9,9.5,10,10.75,11.5,12,13,13.75,14.5,15.5,4.4,6,4.2,5.25,
5/12/2016,4.55,4.8,5,5.25,5.5,6,6.5,6.75,7.25,7.75,8.25,8.75,9.25,9.75,10.5,11,11.75,12.5,4.05,5.5,4.05,4.35,
5/11/2016,5,5.25,5.5,6,6.25,6.75,7,7.5,8,8.5,9,9.5,10,10.5,11.25,12,12.5,13.5,3.75,4.55,3.6,4.8,
5/10/2016,3.8,4,4.2,4.4,4.65,4.85,5,5.5,5.75,6,6.5,6.75,7.25,7.5,8,8.5,9,9.75,4.05,4.05,4,3.6,
5/9/2016,5.75,6,6.5,6.75,7,7.5,8,8.5,9,9.5,10,10.5,11.25,11.75,12.5,13,13.75,14.5,6,6,5.25,5.5,
5/6/2016,6.75,7,7.5,8,8.25,8.75,9.25,9.75,10.25,10.75,11.25,12,12.5,13.25,14,14.75,15.5,16.5,8.75,8.75,8,6.5,
5/5/2016,9,9.25,9.75,10.25,10.75,11.25,11.75,12.5,13,13.75,14.5,15,16,16.75,17.5,18.5,19.5,20.5,8,9,7.5,8.5,
5/4/2016,9,9.5,10,10.5,11,11.5,12,12.75,13.25,14,14.5,15.25,16,16.75,17.5,18.5,19.5,20.5,8.25,9.75,8.25,8.5,
5/3/2016,8.25,8.75,9,9.5,10,10.5,11,11.5,12,12.5,13,13.75,14.5,15,16,16.75,17.5,18.5,8.25,9,7.25,8,
5/2/2016,7,7.25,7.5,7.75,8,8.5,9,9.25,9.75,10,10.5,11,11.5,12.25,12.75,13.5,14,14.75,8.5,8.5,7.5,6.5,
4/29/2016,9.5,10,10.5,10.75,11.25,11.75,12.25,13,13.5,14,14.75,15.5,16.25,17,17.75,18.5,19.25,20,8.5,11.75,8.5,9.25,
4/28/2016,8.25,8.5,9,9.5,9.75,10.25,10.5,11,11.5,12,12.5,13.25,13.75,14.5,15,15.75,16.5,17,5.75,8,5.75,8,
4/27/2016,6,6.25,6.5,6.75,7,7.5,7.75,8,8.5,8.75,9.25,9.75,10.25,10.75,11.25,11.75,12.25,12.75,7.5,7.5,7.25,5.75,
4/26/2016,6.5,7,7.25,7.5,7.75,8.25,8.5,9,9.5,9.75,10.25,10.5,11,11.5,12,12.5,13.25,13.75,6.75,6.75,6.75,6.25,
4/25/2016,7.5,7.75,8,8.5,8.75,9,9.5,10,10.25,10.75,11.25,11.75,12.25,12.75,13.5,14,14.5,15.25,7.25,7.25,7.25,7.25,
4/22/2016,7.25,7.5,7.75,8,8.5,9,9.25,9.75,10,10.5,11,11.5,12,12.5,13,13.5,14.25,14.75,7,7,7,7,
4/21/2016,8.25,8.75,9,9.5,10,10.25,10.75,11,11.5,12,12.5,13,13.5,14,14.75,15.25,16,16.75,7,7.75,7,8,
4/20/2016,7,7.25,7.5,7.75,8,8.5,8.75,9.25,9.5,10,10.5,10.75,11.25,11.75,12.25,12.75,13.25,14,6.25,7.25,6.25,6.5,
4/19/2016,7.25,7.5,8,8.25,8.5,9,9.5,9.75,10.25,10.5,11,11.5,12,12.5,13,13.5,14,14.75,7,7.5,7,7,
