Date,ESM6P 2175 Index,ESM6P 2180 Index,ESM6P 2185 Index,ESM6P 2190 Index,ESM6P 2195 Index,ESM6P 2200 Index,ESM6P 2205 Index,ESM6P 2210 Index,ESM6P 2215 Index,ESM6P 2220 Index,ESM6P 2225 Index,ESM6P 2230 Index,ESM6P 2235 Index,ESM6P 2240 Index,ESM6P 2245 Index,ESM6P 2250 Index,ESM6P 2255 Index,ESM6P 2260 Index,Open,High,Low,Close
5/23/2016,130,135,140,145,150,155,160,164.75,169.75,174.75,179.75,184.75,189.75,194.75,199.75,204.75,209.75,214.75,125,125,125,125
5/20/2016,125.25,130.25,135.25,140.25,145.25,150.25,155,160,165,170,175,180,185,190,195,200,205,210,115.5,115.5,115.5,120.5
5/19/2016,136.5,141.5,146.5,151.5,156.5,161.5,166.5,171.5,176.5,181.5,186.5,191.5,196.25,201.25,206.25,211.25,216.25,221.25,133.75,133.75,133.75,131.5
5/18/2016,133.75,138.75,143.75,148.5,153.5,158.5,163.5,168.5,173.5,178.5,183.5,188.5,193.5,198.5,203.5,208.5,213.5,218.5,129,129,129,129
5/17/2016,131.75,136.75,141.75,146.5,151.5,156.5,161.5,166.5,171.5,176.5,181.5,186.5,191.5,196.5,201.5,206.5,211.5,216.5,127,127,127,127
5/16/2016,113,118,122.75,127.75,132.75,137.5,142.5,147.5,152.5,157.5,162.5,167.5,172.5,177.5,182.5,187.5,192.5,197.5,108.25,108.25,108.25,108.25
5/13/2016,132,136.75,141.75,146.75,151.75,156.75,161.5,166.5,171.5,176.5,181.5,186.5,191.5,196.5,201.5,206.5,211.5,216.5,127,127,127,127
5/12/2016,117,121.75,126.75,131.5,136.5,141.5,146.5,151.5,156.5,161.5,166.5,171.25,176.25,181.25,186.25,191.25,196.25,201.25,112,112,112,112
5/11/2016,118,123,127.75,132.75,137.5,142.5,147.5,152.5,157.5,162.5,167.5,172.25,177.25,182.25,187.25,192.25,197.25,202.25,113.25,113.25,113.25,113.25
5/10/2016,99.25,104,108.75,113.5,118.5,123.25,128.25,133,138,143,148,153,158,163,167.75,172.75,177.75,182.75,94.5,94.5,94.5,94.5
5/9/2016,121.5,126.5,131.5,136.25,141.25,146.25,151,156,161,166,171,176,181,186,191,196,200.75,205.75,116.75,116.75,116.75,116.75
5/6/2016,123.5,128.25,133.25,138,143,148,152.75,157.75,162.75,167.75,172.5,177.5,182.5,187.5,192.5,197.5,202.5,207.5,118.75,118.75,118.75,118.75
5/5/2016,132.25,137,142,147,151.75,156.75,161.5,166.5,171.5,176.5,181.5,186.5,191.25,196.25,201.25,206.25,211.25,216.25,127.5,127.5,127.5,127.5
5/4/2016,129.5,134.5,139.25,144,149,153.75,158.75,163.75,168.5,173.5,178.5,183.5,188.5,193.5,198.5,203.5,208.5,213.25,124.75,124.75,124.75,124.75
5/3/2016,120,124.5,129.5,134.25,139,144,148.75,153.75,158.5,163.5,168.5,173.5,178.5,183.5,188.5,193.5,198.5,203.25,115.25,115.25,115.25,115.25
5/2/2016,103.25,107.75,112.5,117.25,122,126.75,131.75,136.5,141.5,146.5,151.25,156.25,161.25,166.25,171,176,181,186,98.75,98.75,98.75,98.75
4/29/2016,118,122.75,127.5,132.25,137,142,146.75,151.75,156.5,161.5,166.5,171.25,176.25,181.25,186.25,191,196,201,113.5,113.5,113.5,113.5
4/28/2016,106,110.5,115.25,119.75,124.5,129.25,134,138.75,143.75,148.5,153.5,158.25,163.25,168.25,173,178,183,188,101.75,101.75,101.75,101.75
4/27/2016,89.75,94,98.5,102.75,107.25,112,116.5,121.25,126,130.75,135.75,140.5,145.5,150.25,155.25,160,165,170,85.75,85.75,85.75,85.75
4/26/2016,92,96.25,100.5,105,109.5,114.25,119,123.5,128.5,133,138,142.75,147.75,152.5,157.5,162.5,167.5,172.25,88,88,88,88
