Date,ESM6P 2270 Index  (R1),ESM6P 2265 Index  (R1),ESM6P 2275 Index  (R1),ESM6P 2280 Index  (R1),ESM6P 2285 Index  (R1),ESM6P 2290 Index  (R1),ESM6P 2295 Index  (R1),ESM6P 2300 Index  (L1),ESM6P 2305 Index  (R1),ESM6P 2310 Index  (L1),ESM6P 2315 Index  (R1),ESM6P 2320 Index  (L1),ESM6P 2325 Index  (L1),ESM6P 2330 Index  (L1),ESM6P 2335 Index  (R1),ESM6P 2340 Index  (L1)
5/23/16,224.75,219.75,229.75,234.75,239.75,244.75,249.75,254.75,259.75,264.75,269.75,274.75,279.75,284.75,289.75,294.75
5/20/16,220,215,225,230,235,240,245,250,255,260,265,270,275,280,285,290
5/19/16,231.25,226.25,236.25,241.25,246.25,251.25,256.25,261.25,266.25,271.25,276.25,281.25,286.25,291.25,296.25,301.25
5/18/16,228.5,223.5,233.5,238.5,243.5,248.5,253.5,258.5,263.5,268.5,273.5,278.5,283.5,288.5,293.5,298.5
5/17/16,226.5,221.5,231.5,236.5,241.5,246.5,251.5,256.5,261.5,266.5,271.5,276.5,281.5,286.5,291.5,296.5
5/16/16,207.5,202.5,212.5,217.5,222.5,227.25,232.25,237.25,242.25,247.25,252.25,257.25,262.25,267.25,272.25,277.25
5/13/16,226.5,221.5,231.5,236.5,241.5,246.5,251.5,256.5,261.5,266.5,271.5,276.5,281.5,286.5,291.5,296.5
5/12/16,211.25,206.25,216.25,221.25,226.25,231.25,236.25,241.25,246.25,251.25,256.25,261.25,266.25,271.25,276.25,281.25
5/11/16,212.25,207.25,217.25,222.25,227,232,237,242,247,252,257,262,267,272,277,282
5/10/16,192.75,187.75,197.75,202.75,207.5,212.5,217.5,222.5,227.5,232.5,237.5,242.5,247.5,252.5,257.5,262.5
5/9/16,215.75,210.75,220.75,225.75,230.75,235.75,240.75,245.75,250.75,255.75,260.75,265.75,270.75,275.75,280.75,285.75
5/6/16,217.5,212.5,222.5,227.5,232.5,237.5,242.5,247.5,252.5,257.5,262.25,267.25,272.25,277.25,282.25,287.25
5/5/16,226.25,221.25,231.25,236.25,241.25,246.25,251.25,256.25,261,266,271,276,281,286,291,296
5/4/16,223.25,218.25,228.25,233.25,238.25,243.25,248.25,253.25,258.25,263.25,268.25,273.25,278.25,283.25,288,293
5/3/16,213.25,208.25,218.25,223.25,228.25,233.25,238.25,243.25,248.25,253.25,258.25,263.25,268.25,273.25,278.25,283.25
5/2/16,196,191,201,206,211,216,221,226,230.75,235.75,240.75,245.75,250.75,255.75,260.75,265.75
4/29/16,211,206,216,221,226,231,236,241,246,251,256,261,266,271,276,281
4/28/16,198,193,203,208,213,217.75,222.75,227.75,232.75,237.75,242.75,247.75,252.75,257.75,262.75,267.75
4/27/16,180,175,184.75,189.75,194.75,199.75,204.75,209.75,214.75,219.75,224.75,229.5,234.5,239.5,244.5,249.5
4/26/16,182.25,177.25,187.25,192.25,197,202,207,212,217,222,227,232,237,242,247,252
4/25/16,187.5,182.5,192.5,197.25,202.25,207.25,212.25,217.25,222.25,227.25,232.25,237,242,247,252,257
4/22/16,184.75,179.75,189.75,194.5,199.5,204.5,209.5,214.5,219.5,224.5,229.5,234.5,239.25,244.25,249.25,254.25
4/21/16,188,183,193,198,202.75,207.75,212.75,217.75,222.75,227.5,232.5,237.5,242.5,247.5,252.5,257.5
4/20/16,173,168,178,183,187.75,192.75,197.75,202.75,207.75,212.5,217.5,222.5,227.5,232.5,237.5,242.5
4/19/16,177,172.25,182,187,192,197,202,207,212,216.75,221.75,226.75,231.75,236.75,241.75,246.75
4/18/16,184,179,189,194,199,204,208.75,213.75,218.75,223.75,228.75,233.75,238.5,243.5,248.5,253.5
4/15/16,195.5,190.5,200.5,205.5,210.5,215.5,220.25,225.25,230.25,235.25,240.25,245.25,250.25,255.25,260.25,265.25
4/14/16,194,189,199,203.75,208.75,213.75,218.75,223.75,228.75,233.5,238.5,243.5,248.5,253.5,258.5,263.5
4/13/16,194.5,189.5,199.5,204.5,209.5,214.5,219.5,224.25,229.25,234.25,239.25,244.25,249.25,254.25,259.25,264.25
4/12/16,214.5,209.5,219.5,224.5,229.5,234.5,239.5,244.5,249.5,254.5,259.5,264.5,269.5,274.5,279.5,284.5
4/11/16,235.75,230.75,240.5,245.5,250.5,255.5,260.5,265.5,270.5,275.5,280.5,285.5,290.5,295.5,300.5,305.5
4/8/16,229.5,224.5,234.5,239.5,244.5,249.5,254.5,259.5,264.5,269.5,274.25,279.25,284.25,289.25,294.25,299.25
4/7/16,235,230,240,245,250,255,260,265,270,275,280,285,290,295,300,305
4/6/16,210,205,215,220,225,230,235,240,245,250,255,260,265,270,275,280
4/5/16,231.5,226.5,236.5,241.5,246.5,251.25,256.25,261.25,266.25,271.25,276.25,281.25,286.25,291.25,296.25,301.25
