Date,ESM6P 1800 Index,ESM6P 1805 Index,ESM6P 1810 Index,ESM6P 1815 Index,ESM6P 1820 Index,ESM6P 1825 Index,ESM6P 1830 Index,ESM6P 1835 Index,ESM6P 1840 Index,ESM6P 1845 Index,ESM6P 1850 Index,ESM6P 1855 Index,ESM6P 1860 Index,ESM6P 1865 Index,ESM6P 1870 Index,ESM6P 1875 Index,ESM6P 1880 Index,ESM6P 1885 Index,ESM6P 1890 Index,ESM6P 1895 Index,ESM6P 1900 Index,ESM6P 1905 Index,ESM6P 1910 Index,ESM6P 1915 Index,ESM6P 1920 Index,ESM6P 1925 Index,ESM6P 1930 Index,ESM6P 1935 Index,ESM6P 1940 Index,ESM6P 1945 Index,ESM6P 1950 Index,ESM6P 1955 Index,ESM6P 1960 Index,ESM6P 1965 Index,ESM6P 1970 Index,ESM6P 1975 Index,ESM6P 1980 Index,ESM6P 1985 Index,ESM6P 1990 Index,ESM6P 1995 Index,ESM6P 2000 Index,ESM6P 2005 Index,ESM6P 2010 Index,ESM6P 2015 Index,ESM6P 2020 Index,ESM6P 2025 Index,ESM6P 2030 Index,ESM6P 2035 Index,ESM6P 2040 Index,ESM6P 2045 Index,ESM6P 2050 Index,ESM6P 2055 Index,ESM6P 2060 Index,ESM6P 2065 Index,ESM6P 2070 Index,ESM6P 2075 Index,ESM6P 2080 Index,ESM6P 2085 Index,ESM6P 2090 Index,ESM6P 2095 Index,ESM6P 2100 Index,ESM6P 2105 Index,ESM6P 2110 Index,ESM6P 2115 Index,ESM6P 2120 Index,ESM6P 2125 Index,ESM6P 2130 Index,ESM6P 2135 Index,ESM6P 2140 Index,ESM6P 2145 Index,ESM6P 2150 Index,ESM6P 2155 Index,ESM6P 2160 Index,ESM6P 2165 Index,ESM6P 2170 Index,ESM6P 2175 Index,ESM6P 2180 Index,ESM6P 2185 Index,ESM6P 2190 Index,ESM6P 2195 Index,ESM6P 2200 Index,ESM6P 2205 Index,ESM6P 2210 Index,ESM6P 2215 Index,ESM6P 2220 Index,ESM6P 2225 Index,ESM6P 2230 Index,ESM6P 2235 Index,ESM6P 2240 Index,ESM6P 2245 Index,ESM6P 2250 Index,ESM6P 2255 Index,ESM6P 2260 Index,ESM6P 2265 Index,ESM6P 2270 Index,ESM6P 2275 Index,ESM6P 2280 Index,ESM6P 2285 Index,ESM6P 2290 Index,ESM6P 2295 Index,ESM6P 2300 Index,ESM6P 2305 Index,ESM6P 2310 Index,ESM6P 2315 Index,ESM6P 2320 Index,ESM6P 2325 Index,ESM6P 2330 Index,ESM6P 2335 Index,ESM6P 2340 Index
5/20/16,1.2,1.25,1.3,1.35,1.4,1.45,1.55,1.6,1.7,1.85,1.95,2.05,2.2,2.3,2.45,2.6,2.75,2.95,3.15,3.35,3.6,3.85,4.1,4.35,4.65,5,5.5,5.75,6.25,6.75,7.25,7.75,8.25,8.75,9.5,10,11,11.75,12.5,13.5,14.5,15.75,16.75,18,19.25,20.5,22,23.5,25.25,27,29,31,33.25,35.75,38.25,41,43.75,46.75,50,53.5,57,60.75,64.5,68.5,73,77.25,81.75,86.5,91,96,100.75,105.5,110.5,115.5,120.5,125.25,130.25,135.25,140.25,145.25,150.25,155,160,165,170,175,180,185,190,195,200,205,210,215,220,225,230,235,240,245,250,255,260,265,270,275,280,285,290
5/19/16,1.95,2.05,2.15,2.25,2.35,2.5,2.65,2.75,2.9,3.1,3.25,3.4,3.6,3.8,4,4.25,4.5,4.8,5,5.5,5.75,6,6.5,7,7.25,7.75,8.25,8.75,9.25,9.75,10.5,11.25,12,12.75,13.5,14.5,15.5,16.5,17.5,18.75,20,21.25,22.75,24.25,25.75,27.5,29,31,33,35,37.25,39.5,42,44.75,47.5,50.5,53.5,57,60.25,64,67.75,71.5,75.75,80,84.25,88.5,93.25,97.75,102.5,107.25,112,117,121.75,126.75,131.5,136.5,141.5,146.5,151.5,156.5,161.5,166.5,171.5,176.5,181.5,186.5,191.5,196.25,201.25,206.25,211.25,216.25,221.25,226.25,231.25,236.25,241.25,246.25,251.25,256.25,261.25,266.25,271.25,276.25,281.25,286.25,291.25,296.25,301.25
5/18/16,1.85,1.95,2.05,2.2,2.3,2.45,2.6,2.75,2.9,3.05,3.2,3.4,3.55,3.75,4,4.2,4.45,4.7,5,5.25,5.5,6,6.25,6.75,7,7.5,8,8.5,9,9.75,10.5,11,12,12.75,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.75,22,23.5,25,26.75,28.5,30.25,32.25,34.25,36.5,38.75,41,43.5,46.25,49,52,55.25,58.5,62,65.5,69.5,73.5,77.5,81.75,86,90.5,95.25,99.75,104.5,109.25,114.25,119,124,129,133.75,138.75,143.75,148.5,153.5,158.5,163.5,168.5,173.5,178.5,183.5,188.5,193.5,198.5,203.5,208.5,213.5,218.5,223.5,228.5,233.5,238.5,243.5,248.5,253.5,258.5,263.5,268.5,273.5,278.5,283.5,288.5,293.5,298.5
5/17/16,1.95,2.05,2.15,2.25,2.4,2.5,2.6,2.75,2.85,3,3.15,3.35,3.5,3.75,3.95,4.2,4.45,4.7,4.95,5.25,5.5,5.75,6,6.5,7,7.5,8,8.5,9,9.5,10.25,11,11.5,12.25,13,14,14.75,15.75,16.75,18,19,20.5,21.75,23,24.5,26.25,27.75,29.5,31.5,33.25,35.25,37.5,39.75,42.25,45,47.75,50.5,53.75,57,60.5,64,67.75,71.75,75.75,80,84.25,88.75,93.25,98,102.75,107.5,112.25,117,122,127,131.75,136.75,141.75,146.5,151.5,156.5,161.5,166.5,171.5,176.5,181.5,186.5,191.5,196.5,201.5,206.5,211.5,216.5,221.5,226.5,231.5,236.5,241.5,246.5,251.5,256.5,261.5,266.5,271.5,276.5,281.5,286.5,291.5,296.5
5/16/16,1.5,1.55,1.6,1.7,1.75,1.85,1.95,2.05,2.15,2.25,2.4,2.5,2.65,2.8,2.95,3.1,3.3,3.5,3.7,3.95,4.2,4.45,4.7,5,5.25,5.5,6,6.25,6.75,7,7.5,8,8.5,9.25,9.75,10.5,11,11.75,12.5,13.5,14.25,15.25,16.25,17.5,18.5,19.75,21,22.5,23.75,25.25,27,28.75,30.5,32.5,34.5,36.75,39.25,41.75,44.25,47.25,50.25,53.25,56.75,60.25,64,67.75,71.75,76,80.25,84.5,89.25,93.75,98.5,103.25,108.25,113,118,122.75,127.75,132.75,137.5,142.5,147.5,152.5,157.5,162.5,167.5,172.5,177.5,182.5,187.5,192.5,197.5,202.5,207.5,212.5,217.5,222.5,227.25,232.25,237.25,242.25,247.25,252.25,257.25,262.25,267.25,272.25,277.25
5/13/16,2.25,2.35,2.45,2.55,2.7,2.8,2.95,3.1,3.3,3.5,3.7,3.9,4.1,4.3,4.5,4.75,5,5.25,5.5,6,6.25,6.75,7,7.5,8,8.5,9,9.5,10,10.75,11.5,12,13,13.75,14.5,15.5,16.5,17.5,18.5,19.5,20.75,22,23.5,24.75,26.25,28,29.5,31.25,33.25,35,37.25,39.5,41.75,44,46.75,49.5,52.25,55.25,58.5,61.75,65.25,68.75,72.5,76.5,80.75,85,89.25,93.75,98.5,103,107.75,112.5,117.25,122,127,132,136.75,141.75,146.75,151.75,156.75,161.5,166.5,171.5,176.5,181.5,186.5,191.5,196.5,201.5,206.5,211.5,216.5,221.5,226.5,231.5,236.5,241.5,246.5,251.5,256.5,261.5,266.5,271.5,276.5,281.5,286.5,291.5,296.5
5/12/16,1.85,1.95,2.05,2.15,2.25,2.35,2.5,2.6,2.7,2.85,3.05,3.2,3.3,3.5,3.7,3.9,4.1,4.35,4.55,4.8,5,5.25,5.5,6,6.5,6.75,7.25,7.75,8.25,8.75,9.25,9.75,10.5,11,11.75,12.5,13.25,14,15,15.75,16.75,17.75,19,20,21.25,22.5,24,25.5,27,28.75,30.5,32.25,34.25,36.25,38.5,40.75,43.25,45.75,48.5,51.5,54.5,57.75,61,64.5,68.25,72,76,80,84.5,88.75,93.25,98,102.5,107.25,112,117,121.75,126.75,131.5,136.5,141.5,146.5,151.5,156.5,161.5,166.5,171.25,176.25,181.25,186.25,191.25,196.25,201.25,206.25,211.25,216.25,221.25,226.25,231.25,236.25,241.25,246.25,251.25,256.25,261.25,266.25,271.25,276.25,281.25
5/11/16,2.1,2.2,2.3,2.45,2.55,2.65,2.8,2.95,3.1,3.25,3.4,3.55,3.75,3.9,4.1,4.35,4.55,4.8,5,5.25,5.5,6,6.25,6.75,7,7.5,8,8.5,9,9.5,10,10.5,11.25,12,12.5,13.5,14.25,15,16,17,18,19,20.25,21.5,22.5,24,25.5,27,28.5,30.25,32,33.75,35.75,37.75,40,42.25,44.75,47.25,50,53,56,59.25,62.5,66,69.75,73.5,77.5,81.5,85.75,90,94.5,99,103.75,108.5,113.25,118,123,127.75,132.75,137.5,142.5,147.5,152.5,157.5,162.5,167.5,172.25,177.25,182.25,187.25,192.25,197.25,202.25,207.25,212.25,217.25,222.25,227,232,237,242,247,252,257,262,267,272,277,282
5/10/16,1.65,1.7,1.75,1.85,1.9,2,2.1,2.2,2.3,2.4,2.5,2.65,2.75,2.9,3.05,3.25,3.4,3.6,3.8,4,4.2,4.4,4.65,4.85,5,5.5,5.75,6,6.5,6.75,7.25,7.5,8,8.5,9,9.75,10.25,11,11.5,12.25,13,13.75,14.75,15.5,16.5,17.5,18.75,20,21,22.5,23.75,25.25,26.75,28.5,30,32,34,36,38.25,40.75,43.25,46,48.75,51.75,54.75,58,61.5,65.25,69,73,77,81.25,85.5,90,94.5,99.25,104,108.75,113.5,118.5,123.25,128.25,133,138,143,148,153,158,163,167.75,172.75,177.75,182.75,187.75,192.75,197.75,202.75,207.5,212.5,217.5,222.5,227.5,232.5,237.5,242.5,247.5,252.5,257.5,262.5
5/9/16,2.4,2.5,2.6,2.75,2.9,3,3.15,3.3,3.45,3.6,3.8,4,4.2,4.4,4.65,4.9,5.25,5.5,5.75,6,6.5,6.75,7,7.5,8,8.5,9,9.5,10,10.5,11.25,11.75,12.5,13,13.75,14.5,15.5,16.25,17.25,18.25,19.5,20.5,21.75,23,24.5,25.75,27.25,29,30.5,32.25,34.25,36,38.25,40.25,42.5,45,47.5,50.25,53,56,59,62.25,65.75,69.25,73,76.75,80.75,84.75,89,93.5,98,102.5,107.25,112,116.75,121.5,126.5,131.5,136.25,141.25,146.25,151,156,161,166,171,176,181,186,191,196,200.75,205.75,210.75,215.75,220.75,225.75,230.75,235.75,240.75,245.75,250.75,255.75,260.75,265.75,270.75,275.75,280.75,285.75
