Date,future,future_rounded,impvol_avg,ewma_avg,signal,entry_strike,call_ATM,put_ATM,call_wing,put_wing,call_ATM_delta,put_ATM_delta,call_wing_delta,put_wing_delta,call_ATM_old,put_ATM_old,call_wing_old,put_wing_old,butterfly,butterfly_old,profit,cum_profit,delta_hedge
2015-06-25,2076.5,2075,0.1605583069819818,0.1395386054579038,-1.0,2075,132.25,130.75,52.75,141.75,0.5332465042990572,-0.4667534957009428,0.5212130641091787,-0.47878693589082133,142.25,123.25,136.0,119.75,68.5,,68.5,68.5,0.024066880379757016
2015-06-26,2078.25,2080,0.15941037312708808,0.14394433932635625,-1.0,2080,129.75,131.5,124.0,127.5,0.5292910829033814,-0.47070891709661855,0.5171754412189344,-0.48282455878106556,135.75,128.75,52.75,141.75,9.75,70.0,-60.25,8.25,0.02423128336889402
2015-06-29,2032.75,2035,0.1714192813690155,0.15567398395293397,-1.0,2035,77.0,127.0,72.0,134.0,0.5307998735233154,-0.46920012647668463,0.5192388750826413,-0.4807611249173587,129.25,132.75,123.0,129.0,-2.0,10.0,-12.0,-3.75,0.023121996881348084
2015-06-30,2036.5,2035,0.16931963354067014,0.15863747133414338,-1.0,2035,77.0,127.0,72.0,130.5,0.5353967340769369,-0.4646032659230631,0.523684928503461,-0.47631507149653896,77.0,127.0,72.0,111.5,1.5,20.5,-19.0,-22.75,0.023423611146951684
2015-07-01,2053.25,2055,0.16248285033524515,0.15689425604209434,-1.0,2055,66.75,136.5,62.0,131.75,0.5299112229258554,-0.47008877707414465,0.5177963980944907,-0.48220360190550926,77.0,127.0,72.0,134.0,9.5,-2.0,11.5,-11.25,0.024229649662729225
2015-07-02,2051.0,2050,0.16500174231320672,0.1591523848556271,-1.0,2050,132.75,131.75,126.5,128.0,0.5336751278197243,-0.46632487218027574,0.5217066464294433,-0.4782933535705567,66.75,136.5,62.0,131.75,10.0,9.5,0.5,-10.75,0.0239369627805619
2015-07-06,2046.75,2045,0.16722702931915093,0.16139217314638696,-1.0,2045,72.0,131.75,66.75,127.0,0.5348052820545666,-0.46519471794543343,0.5229016893262646,-0.4770983106737354,132.75,129.5,126.75,125.75,10.0,9.75,0.25,-10.5,0.023807185456603985
2015-07-07,2055.5,2055,0.16361380463587566,0.1604316293459338,-1.0,2055,66.75,136.5,62.0,131.75,0.5328223902854827,-0.4671776097145173,0.5206930591157155,-0.4793069408842845,72.0,131.75,66.75,127.0,9.5,10.0,-0.5,-11.0,0.024258662339534443
2015-07-08,2021.0,2020,0.17146729574146266,0.16721585201700856,-1.0,2020,134.75,133.75,128.75,129.75,0.5348449130258712,-0.4651550869741288,0.5230585497152856,-0.47694145028471435,66.75,136.5,62.0,131.75,10.0,9.5,0.5,-10.5,0.02357272662117116
2015-07-09,2023.0,2025,0.17306744166785107,0.16758821289955123,-1.0,2025,134.5,136.5,77.0,118.0,0.5315823686087195,-0.46841763139128045,0.5199103656584191,-0.4800896343415809,152.25,116.75,146.0,113.25,76.0,9.75,66.25,55.75,0.023344005900600928
2015-07-10,2051.0,2050,0.1643149225289744,0.16350002433206293,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.75,135.75,77.0,118.0,0.0,72.5,-72.5,-16.75,0.0
2015-07-13,2076.25,2075,0.15608473713380924,0.15863922374077669,1.0,2075,125.25,124.0,52.75,141.75,0.5321027301705814,-0.4678972698294186,0.5193978792685253,-0.4806021207314747,0.0,0.0,0.0,0.0,-54.75,0.0,-54.75,-71.5,0.025409701804112172
2015-07-14,2084.0,2085,0.15490774048076425,0.15658590421065752,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.5,139.5,52.75,141.75,0.0,-60.5,60.5,-11.0,0.0
2015-07-15,2086.25,2085,0.15544211360019963,0.15638783266982167,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.0,0.0
2015-07-16,2098.75,2100,0.15257728747728636,0.15366794687935872,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.0,0.0
2015-07-17,2100.5,2100,0.1519038116253085,0.15336604963315456,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.0,0.0
2015-07-20,2103.75,2105,0.15135161153144794,0.15232288999798932,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.0,0.0
2015-07-21,2096.25,2095,0.15237497685199602,0.15373879592041176,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.0,0.0
2015-07-22,2089.75,2090,0.1520576899317803,0.15415917694724088,1.0,2090,120.5,120.75,114.5,117.0,0.5295267058057932,-0.4704732941942068,0.5163983325274049,-0.48360166747259514,0.0,0.0,0.0,0.0,-9.75,0.0,-9.75,-20.75,0.026256746556776678
2015-07-23,2080.25,2080,0.15470588023611334,0.1556602756038219,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.0,119.0,119.0,115.0,0.0,-10.0,10.0,-10.75,0.0
2015-07-24,2059.5,2060,0.15815386965868292,0.1589116432012491,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.75,0.0
2015-07-27,2046.25,2045,0.16362412847171867,0.16181879493886583,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.75,0.0
2015-07-28,2069.0,2070,0.1564814836681235,0.15736425335010046,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.75,0.0
2015-07-29,2083.25,2085,0.15347307335385843,0.1545877080536186,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.75,0.0
2015-07-30,2085.5,2085,0.15303035764953846,0.15432683084972834,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.75,0.0
2015-07-31,2080.0,2080,0.15386542367069192,0.15494517044303452,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.75,0.0
2015-08-03,2072.25,2070,0.15443250666199132,0.15624022534027926,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.75,0.0
2015-08-04,2064.5,2065,0.1553336838194805,0.15680294283387994,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.75,0.0
2015-08-05,2075.5,2075,0.15398684175185298,0.15489869050232954,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.75,0.0
