Date,USGG3M,USGG6M,USGG2YR,USGG3YR,USGG5YR,USGG10YR,USGG30YR
1/5/1981,13.52,13.09,12.289,12.28,12.294,12.152,11.672
1/6/1981,13.58,13.16,12.429,12.31,12.214,12.112,11.672
1/7/1981,14.5,13.9,12.929,12.78,12.614,12.382,11.892
1/8/1981,14.76,14,13.099,12.95,12.684,12.352,11.912
1/9/1981,15.2,14.3,13.539,13.28,12.884,12.572,12.132
1/12/1981,15.22,14.23,13.179,12.94,12.714,12.452,12.082
1/13/1981,15.24,14.1,13.309,12.97,12.684,12.532,12.082
1/14/1981,15.08,13.9,12.959,12.75,12.614,12.532,12.072
1/15/1981,15.25,14.09,13.259,13.02,12.774,12.622,12.252
1/16/1981,15.15,13.98,13.089,12.85,12.664,12.532,12.132
1/19/1981,15.79,14.73,13.629,12.92,12.924,12.642,12.252
1/20/1981,15.32,14.23,13.489,12.77,12.774,12.502,12.112
1/21/1981,15.71,14.59,13.799,13.08,13.084,12.772,12.332
1/22/1981,15.72,14.75,13.839,13.16,13.164,12.872,12.462
1/23/1981,15.7,14.63,13.749,13.1,13.104,12.842,12.382
1/26/1981,15.35,14.33,13.409,13.09,12.894,12.702,12.282
1/27/1981,15.2,14.1,13.409,13.14,12.924,12.732,12.312
1/28/1981,15.06,14.05,13.489,13.12,12.944,12.772,12.332
1/29/1981,14.87,13.92,13.429,13.16,12.894,12.802,12.382
1/30/1981,14.59,13.63,13.269,13.05,12.804,12.682,12.282
2/2/1981,14.9,13.88,13.519,13.29,13.024,12.862,12.452
2/3/1981,14.85,13.9,13.709,13.48,13.204,12.982,12.612
2/4/1981,14.67,13.76,13.639,13.38,13.094,12.862,12.492
2/5/1981,14.74,13.86,13.639,13.35,13.104,12.952,12.702
2/6/1981,15.32,14.22,13.899,13.55,13.234,13.092,12.732
2/9/1981,15.52,14.45,13.979,13.61,13.354,13.212,12.812
2/10/1981,15.46,14.59,14.109,13.78,13.504,13.272,12.922
2/11/1981,15.54,14.7,14.349,13.97,13.664,13.422,13.012
2/13/1981,15.51,14.79,14.459,14.09,13.844,13.652,13.202
2/17/1981,15.14,14.4,13.979,13.69,13.464,13.332,12.932
2/18/1981,15.02,14.34,13.989,13.66,13.454,13.302,12.882
2/19/1981,14.48,13.82,13.729,13.45,13.254,13.092,12.712
2/20/1981,14.09,13.42,13.559,13.33,13.104,12.902,12.542
2/23/1981,14.23,13.75,13.929,13.64,13.494,13.192,12.812
2/24/1981,14.15,13.65,14.009,13.7,13.514,13.212,12.812
2/25/1981,14.2,13.7,14.009,13.76,13.614,13.292,12.892
2/26/1981,14.14,13.83,14.109,13.97,13.804,13.472,12.982
2/27/1981,14.22,13.89,14.089,13.95,13.764,13.432,12.972
3/2/1981,14.52,14.24,14.409,14.17,13.924,13.622,13.192
3/3/1981,14.39,13.98,14.139,13.96,13.784,13.432,13.002
3/4/1981,14.49,14,14.219,13.99,13.824,13.452,13.032
3/5/1981,14.51,14.02,14.179,13.95,13.784,13.432,13.002
3/6/1981,14.29,13.76,13.919,13.68,13.494,13.202,12.732
3/9/1981,14.16,13.58,13.849,13.65,13.394,13.092,12.642
3/10/1981,13.99,13.32,13.749,13.58,13.374,13.082,12.692
3/11/1981,13.92,13.21,13.799,13.62,13.404,13.122,12.742
3/12/1981,13.66,12.94,13.709,13.53,13.334,13.032,12.592
3/13/1981,13.21,12.46,13.459,13.36,13.184,12.862,12.422
3/16/1981,13.02,12.28,13.309,13.27,13.154,12.852,12.412
3/17/1981,12.95,12.2,13.209,13.2,12.974,12.682,12.252
3/18/1981,12.45,11.58,12.759,12.85,12.804,12.582,12.162
3/19/1981,12.36,11.74,12.849,12.98,12.954,12.672,12.282
3/20/1981,12.36,11.79,12.889,12.99,13.014,12.772,12.342
3/23/1981,12.83,12.31,13.369,13.44,13.384,13.132,12.712
3/24/1981,12.84,12.44,13.559,13.57,13.574,13.302,12.842
3/25/1981,12.83,12.47,13.519,13.51,13.514,13.212,12.772
3/26/1981,12.97,12.65,13.629,13.64,13.634,13.342,12.922
3/27/1981,13.08,12.66,13.679,13.67,13.684,13.362,12.932
3/30/1981,12.6,12.18,13.329,13.4,13.484,13.222,12.802
3/31/1981,12.46,12.03,13.179,13.27,13.394,13.132,12.652
4/1/1981,12.37,11.95,13.199,13.29,13.364,13.142,12.652
4/2/1981,12.58,12.17,13.409,13.44,13.464,13.252,12.802
4/3/1981,12.97,12.58,13.579,13.62,13.624,13.402,12.942
4/6/1981,14,13.63,14.139,14.1,14.014,13.742,13.282
4/7/1981,13.63,13.18,13.709,13.73,13.744,13.412,12.992
4/8/1981,13.66,13.33,13.899,13.88,13.854,13.612,13.152
4/9/1981,13.49,13.32,13.879,13.84,13.774,13.452,13.022
4/10/1981,13.59,13.33,13.909,13.89,13.844,13.592,13.152
4/13/1981,13.78,13.6,14.059,14.05,14.014,13.682,13.232
4/14/1981,13.37,13.25,13.929,13.92,13.894,13.582,13.132
4/15/1981,13.68,13.52,14.199,14.13,14.054,13.742,13.292
4/16/1981,13.79,13.61,14.239,14.16,14.084,13.792,13.322
4/20/1981,13.75,13.68,14.339,14.2,14.104,13.692,13.172
4/21/1981,13.66,13.67,14.349,14.25,14.074,13.732,13.202
4/22/1981,13.58,13.63,14.419,14.31,14.304,13.782,13.252
4/23/1981,13.64,13.66,14.519,14.38,14.184,13.802,13.282
4/24/1981,14.05,13.97,14.669,14.49,14.244,13.882,13.352
4/27/1981,14.28,14.12,14.679,14.55,14.314,13.922,13.382
4/28/1981,14.39,14.07,14.659,14.49,14.284,13.932,13.392
4/29/1981,14.42,14.03,14.679,14.55,14.374,14.052,13.502
4/30/1981,14.86,14.21,14.849,14.68,14.454,14.112,13.652
5/1/1981,14.67,14.02,14.729,14.57,14.374,14.052,13.592
5/4/1981,16.01,15.1,15.379,15.14,14.834,14.472,13.982
5/5/1981,16.61,15.64,15.949,15.69,15.354,14.692,14.112
5/6/1981,16.52,15.61,15.839,15.43,15.024,14.562,13.972
5/7/1981,16.58,15.63,15.699,15.29,14.834,14.332,13.842
5/8/1981,16.48,15.5,15.699,15.21,14.664,14.232,13.762
5/11/1981,16.59,15.61,15.749,15.3,14.874,14.342,13.892
5/12/1981,16.94,15.83,15.939,15.48,15.064,14.462,13.952
5/13/1981,17.01,15.79,15.949,15.52,15.054,14.492,13.952
5/14/1981,16.67,15.64,15.809,15.38,14.844,14.242,13.662
5/15/1981,16.55,15.52,15.559,15.13,14.594,14.072,13.582
5/18/1981,16.2,15.13,15.199,14.71,14.224,13.802,13.312
5/19/1981,16.56,15.45,15.479,15.03,14.594,13.952,13.472
5/20/1981,16.6,15.55,15.639,15.19,14.704,14.002,13.452
5/21/1981,17,15.93,15.759,15.33,14.774,14.052,13.532
5/22/1981,16.68,15.54,15.489,14.99,14.394,13.832,13.362
5/26/1981,15.93,14.93,15.099,14.63,14.134,13.672,13.222
5/27/1981,16.01,14.92,15.149,14.78,14.244,13.712,13.272
5/28/1981,15.38,14.34,14.799,14.47,13.994,13.562,13.102
5/29/1981,15.1,14.02,14.409,14.31,13.994,13.502,13.062
6/1/1981,15.5,14.49,14.479,14.35,13.994,13.462,13.062
6/2/1981,15.69,14.6,14.669,14.45,14.004,13.582,13.132
6/3/1981,15.64,14.55,14.659,14.28,14.054,13.552,13.082
6/4/1981,15.81,14.74,14.769,14.45,14.004,13.512,13.042
6/5/1981,15.83,14.73,14.739,14.45,14.104,13.562,13.112
6/8/1981,15.18,14.14,14.319,14.11,13.784,13.362,12.872
6/9/1981,15.01,14.03,14.449,14.2,13.874,13.372,12.892
6/10/1981,14.69,13.88,14.319,14.11,13.784,13.312,12.822
6/11/1981,14.56,13.94,14.409,14.16,13.844,13.322,12.842
6/12/1981,14.53,13.98,14.449,14.21,13.874,13.352,12.842
6/15/1981,13.72,13.45,14.039,13.86,13.574,13.092,12.612
6/16/1981,13.73,13.46,14.119,13.88,13.584,13.082,12.592
6/17/1981,14.24,13.75,14.379,14.11,13.714,13.232,12.732
6/18/1981,15,14.4,14.669,14.46,14.104,13.572,12.982
6/19/1981,14.87,14.23,14.659,14.44,14.074,13.462,12.902
6/22/1981,14.36,13.88,14.499,14.31,13.964,13.442,12.862
6/23/1981,14.5,13.99,14.599,14.35,14.004,13.562,12.992
6/24/1981,14.7,14.17,14.719,14.46,14.104,13.662,13.102
6/25/1981,14.24,13.99,14.659,14.42,14.084,13.702,13.142
6/26/1981,14.13,13.85,14.599,14.39,14.094,13.692,13.142
6/29/1981,13.94,13.75,14.489,14.33,14.014,13.682,13.112
6/30/1981,14.28,13.88,14.669,14.57,14.254,13.862,13.302
7/1/1981,14.65,14.3,14.949,14.7,14.474,14.042,13.472
7/2/1981,14.48,14.21,14.879,14.7,14.384,13.952,13.352
7/6/1981,14.35,14.11,14.689,14.68,14.274,13.812,13.192
7/7/1981,14.89,14.47,14.929,14.92,14.494,14.042,13.422
7/8/1981,14.98,14.55,15.029,15.02,14.574,14.112,13.432
7/9/1981,15.13,14.74,15.149,15.14,14.604,14.122,13.472
7/10/1981,14.75,14.36,14.889,14.88,14.454,13.942,13.252
7/13/1981,14.6,14.32,14.839,14.71,14.414,13.992,13.332
7/14/1981,14.78,14.49,15.079,14.9,14.554,14.152,13.492
7/15/1981,14.45,14.35,15.039,14.85,14.554,14.072,13.352
7/16/1981,14.52,14.44,15.119,14.92,14.594,14.112,13.442
7/17/1981,14.43,14.35,15.079,14.92,14.534,14.092,13.402
7/20/1981,15.5,15.42,15.969,15.75,15.254,14.592,13.872
7/21/1981,15.72,15.42,16.009,15.66,15.234,14.612,13.842
7/22/1981,15.68,15.41,15.959,15.69,15.244,14.632,13.872
7/23/1981,15.5,15.27,15.859,15.59,15.174,14.572,13.802
7/24/1981,15.08,14.96,15.649,15.37,14.964,14.412,13.652
7/27/1981,15.11,14.91,15.579,15.28,14.874,14.432,13.702
7/28/1981,15.3,15.14,15.789,15.57,15.044,14.532,13.802
7/29/1981,15.18,15.11,15.769,15.6,15.214,14.612,13.922
7/30/1981,14.87,14.98,15.889,15.69,15.314,14.712,13.952
7/31/1981,14.87,14.87,15.849,15.63,15.244,14.672,13.962
8/3/1981,15.5,15.51,16.169,16.04,15.624,14.952,14.272
8/4/1981,15.48,15.44,16.169,15.97,15.604,14.952,14.172
8/5/1981,15.35,15.29,16.079,15.83,15.404,14.912,14.152
8/6/1981,15.36,15.36,16.039,15.77,15.314,14.862,14.042
8/7/1981,15.44,15.42,16.059,15.79,15.344,14.832,14.072
8/10/1981,15.22,15.23,15.839,15.55,15.084,14.652,13.882
8/11/1981,14.85,14.93,15.679,15.37,14.874,14.402,13.632
8/12/1981,15.28,15.3,16.029,15.7,15.124,14.612,13.822
8/13/1981,15.42,15.44,16.139,15.83,15.264,14.652,13.882
8/14/1981,15.5,15.52,16.199,15.88,15.344,14.742,13.952
8/17/1981,15.74,15.73,16.229,15.91,15.394,14.712,13.902
8/18/1981,15.72,15.62,16.309,15.99,15.454,14.792,13.952
8/19/1981,15.67,15.55,16.329,15.97,15.484,14.772,13.952
8/20/1981,15.62,15.59,16.259,16.02,15.634,14.892,14.082
8/21/1981,15.4,15.41,16.319,15.99,15.624,14.972,14.142
8/24/1981,15.85,15.92,16.869,16.46,16.004,15.322,14.572
8/25/1981,15.78,15.8,16.679,16.39,16.074,15.352,14.612
8/26/1981,15.83,15.88,16.699,16.39,15.994,15.312,14.602
8/27/1981,15.72,15.76,16.759,16.47,16.154,15.362,14.592
8/28/1981,15.38,15.45,16.579,16.25,16.014,15.252,14.492
8/31/1981,15.52,15.69,16.739,16.33,16.114,15.412,14.782
9/1/1981,15.59,15.61,16.789,16.57,16.124,15.412,14.702
9/2/1981,15.66,15.72,16.789,16.43,16.094,15.402,14.702
9/3/1981,15.63,15.81,16.909,16.48,16.144,15.482,14.822
9/4/1981,15.56,15.79,16.899,16.52,16.174,15.512,14.842
9/8/1981,15.65,15.8,16.959,16.56,16.234,15.592,14.992
9/9/1981,15.36,15.49,16.959,16.59,16.224,15.532,14.732
9/10/1981,15.01,15.34,16.729,16.39,16.014,15.302,14.682
9/11/1981,14.52,14.89,16.479,16.15,15.814,15.052,14.492
9/14/1981,14.45,14.76,16.439,16.23,15.934,15.202,14.512
9/15/1981,14.29,14.5,16.139,15.97,15.714,15.082,14.442
9/16/1981,14.34,14.51,16.099,15.99,15.754,15.112,14.422
9/17/1981,14.32,14.36,16.019,15.83,15.554,14.952,14.262
9/18/1981,14.34,14.42,16.029,15.83,15.554,14.912,14.222
9/21/1981,14.27,14.26,15.799,15.57,15.314,14.782,14.092
9/22/1981,14.48,14.45,16.049,15.87,15.614,15.032,14.332
9/23/1981,14.2,14.37,16.119,16.01,15.794,15.232,14.612
9/24/1981,14.21,14.43,16.179,16.08,15.834,15.312,14.692
9/25/1981,14.3,14.66,16.539,16.37,16.134,15.682,15.082
9/28/1981,14.12,14.58,16.579,16.36,16.134,15.652,15.012
9/29/1981,14.16,14.69,16.599,16.46,16.184,15.762,15.202
9/30/1981,14.34,14.79,16.699,16.45,16.274,15.842,15.192
10/1/1981,14.57,14.8,16.579,16.4,16.134,15.752,15.142
10/2/1981,14.65,14.76,16.349,16.11,15.834,15.412,14.802
10/5/1981,14.27,14.28,15.879,15.77,15.554,15.192,14.622
10/6/1981,13.9,14.12,15.859,15.78,15.534,15.142,14.602
10/7/1981,13.85,14.01,15.739,15.62,15.434,15.042,14.542
10/8/1981,13.7,13.96,15.799,15.65,15.414,15.002,14.442
10/9/1981,13.33,13.54,15.209,15.15,15.034,14.732,14.262
10/13/1981,13.5,13.58,15.259,15.14,15.124,14.832,14.362
10/14/1981,13.24,13.61,15.359,15.21,15.134,14.872,14.482
10/15/1981,13.36,13.6,15.319,15.17,15.124,14.882,14.392
10/16/1981,13.52,13.77,15.469,15.3,15.204,14.942,14.552
10/19/1981,13.52,13.82,15.489,15.36,15.294,14.952,14.522
10/20/1981,13.46,13.82,15.489,15.44,15.374,15.092,14.662
10/21/1981,13.29,13.91,15.559,15.57,15.554,15.342,14.942
10/22/1981,13.32,13.87,15.569,15.6,15.574,15.382,14.912
10/23/1981,13.24,13.66,15.419,15.54,15.464,15.302,14.812
10/26/1981,13.32,13.73,15.569,15.68,15.684,15.602,15.212
10/27/1981,13.36,13.65,15.569,15.68,15.624,15.542,15.092
10/28/1981,13.22,13.59,15.429,15.57,14.544,15.442,15.032
10/29/1981,13.04,13.29,15.079,15.11,15.204,15.062,14.662
10/30/1981,12.75,12.9,14.599,14.65,14.784,14.632,14.362
11/2/1981,12.69,12.87,14.119,14.44,14.614,14.572,14.412
11/4/1981,12.3,12.5,14.119,14.13,14.324,14.182,13.962
11/5/1981,12.18,12.59,14.209,14.23,14.434,14.192,14.062
